#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2021 04 14 01 26  1.5  0.5 15.4  1.4  5.9 SSW   W VERY_STEEP  5.0 268
2021 04 14 00 56  1.4  0.5 15.4  1.3  5.3 SSW   W VERY_STEEP  5.2 271
2021 04 14 00 26  1.4  0.5 15.4  1.3  5.6   S   W VERY_STEEP  5.2 267
2021 04 13 23 56  1.4  0.5 15.4  1.3  5.9  SW   W VERY_STEEP  5.3 272
2021 04 13 23 26  1.3  0.5 15.4  1.2  5.0  SW   W    AVERAGE  5.4 215
2021 04 13 22 56  1.3  0.5 15.4  1.1  4.8 SSW   W    AVERAGE  5.3 210
2021 04 13 22 26  1.2  0.5 15.4  1.1  7.7   S   W    AVERAGE  5.5 274
2021 04 13 21 56  1.3  0.5 16.7  1.1  6.7 SSW   W      STEEP  5.8 269
2021 04 13 21 26  1.2  0.6 15.4  1.1  6.2 SSW   W    AVERAGE  5.8 200
2021 04 13 20 56  1.2  0.5 15.4  1.1  8.3 SSW   W    AVERAGE  5.8 200
2021 04 13 20 26  1.1  0.5 15.4  1.0  6.7  SW   W    AVERAGE  5.8 223
2021 04 13 19 56  1.1  0.5 11.1  1.0  8.3   W   W    AVERAGE  5.6 271
2021 04 13 19 26  1.1  0.6 15.4  1.0  6.2 SSW   W    AVERAGE  5.9 210
2021 04 13 18 56  1.2  0.5 10.5  1.0  7.7 WNW   W    AVERAGE  5.8 283
2021 04 13 18 26  1.1  0.5 12.5  1.0  5.9 WSW   W      STEEP  5.5 261
2021 04 13 17 56  1.1  0.5 11.1  0.9  8.3 WSW   W    AVERAGE  5.6 255
2021 04 13 17 26  1.1  0.5 15.4  0.9  6.7  SW   W    AVERAGE  5.6 215
2021 04 13 16 56  1.0  0.5 16.7  0.9  8.3 SSW   W    AVERAGE  5.3 271
2021 04 13 16 26  1.0  0.5 15.4  0.9  7.1  SW   W    AVERAGE  5.7 220
2021 04 13 15 56  1.0  0.4 15.4  1.0  6.2 SSW WSW      STEEP  5.5 258
2021 04 13 15 26  1.1  0.5 15.4  0.9  6.7 SSW WSW    AVERAGE  5.4 200
2021 04 13 14 56  1.1  0.5 16.7  0.9  5.9  SW   W    AVERAGE  5.2 216
2021 04 13 14 26  1.1  0.5 16.7  1.1  7.1  SW   W    AVERAGE  5.3 215
2021 04 13 13 56  1.2  0.5 16.7  1.1  6.2  SW   W    AVERAGE  5.4 220
2021 04 13 13 26  1.2  0.5 16.7  1.2  6.2 SSW   W    AVERAGE  5.6 210
2021 04 13 12 56  1.2  0.5 10.5  1.1  5.9 WNW   W    AVERAGE  5.4 285
2021 04 13 12 26  1.3  0.5 16.7  1.2  5.9  SW   W      STEEP  5.5 268
2021 04 13 11 56  1.3  0.4 11.1  1.2  6.2   W   W      STEEP  5.4 272
2021 04 13 11 26  1.3  0.5 16.7  1.2  6.2  SW   W      STEEP  5.4 269
2021 04 13 10 56  1.4  0.5 11.1  1.3  6.7   W   W      STEEP  5.6 274
2021 04 13 10 26  1.3  0.5 16.7  1.2  6.2 SSW   W      STEEP  5.6 269
2021 04 13 09 56  1.4  0.5 16.7  1.3  5.9 SSW   W      STEEP  5.7 268
2021 04 13 09 26  1.3  0.4 16.7  1.2  6.7 SSW   W      STEEP  5.5 268
2021 04 13 08 56  1.4  0.5 11.8  1.3  7.7   W   W    AVERAGE  5.7 276
2021 04 13 08 26  1.4  0.5 11.1  1.4  6.7   W   W      STEEP  5.7 268
2021 04 13 07 56  1.4  0.5 10.5  1.3  6.7   W   W      STEEP  5.7 268
2021 04 13 07 26  1.5  0.5 11.1  1.4  7.1 WSW   W      STEEP  5.6 271
2021 04 13 06 56  1.4  0.6 16.7  1.3  7.1 SSW   W      STEEP  5.6 267
2021 04 13 06 26  1.3  0.5 10.5  1.2  6.7 WSW   W      STEEP  5.4 271
2021 04 13 05 56  1.4  0.5 12.5  1.3  5.9   W   W      STEEP  5.1 272
2021 04 13 05 26  1.4  0.5 16.7  1.4  6.7   S   W      STEEP  5.1 265
2021 04 13 04 56  1.4  0.5 11.8  1.3  5.6 WSW   W VERY_STEEP  5.1 274
2021 04 13 04 26  1.4  0.5 11.8  1.3  5.0  SW   W    AVERAGE  5.0 236
2021 04 13 03 56  1.4  0.5 16.7  1.4  5.6 SSW   W VERY_STEEP  4.9 264
2021 04 13 03 26  1.4  0.5 16.7  1.3  5.6   S   W VERY_STEEP  4.9 267
2021 04 13 02 56  1.5  0.5 16.7  1.4  5.9 SSW   W VERY_STEEP  4.9 267
2021 04 13 02 26  1.5  0.5 11.8  1.4  5.3   W   W VERY_STEEP  4.8 278
2021 04 13 01 56  1.5  0.4 11.1  1.4  5.3   W   W VERY_STEEP  4.9 279
2021 04 13 01 26  1.6  0.6 16.7  1.5  5.6  SW   W VERY_STEEP  5.2 268
2021 04 13 00 56  1.5  0.5 16.7  1.4  5.9  SW   W VERY_STEEP  5.2 262
2021 04 13 00 26  1.3  0.5 11.8  1.3  5.0   W   W VERY_STEEP  5.2 269
2021 04 12 23 56  1.3  0.5 11.1  1.3  5.9 WNW   W      STEEP  5.3 271
2021 04 12 23 26  1.4  0.5 11.1  1.3  5.6 WSW   W VERY_STEEP  5.5 268
2021 04 12 22 56  1.4  0.5 16.7  1.3  6.2  SW   W      STEEP  5.5 267
2021 04 12 22 26  1.3  0.5 16.7  1.2  6.7 SSW   W      STEEP  5.5 267
2021 04 12 21 56  1.3  0.5 16.7  1.2  7.7   S   W    AVERAGE  5.7 268
2021 04 12 21 26  1.3  0.5 16.7  1.2  5.9 SSW   W      STEEP  5.7 269
2021 04 12 20 56  1.4  0.6 10.5  1.2  9.1 WNW WNW    AVERAGE  5.9 297
2021 04 12 20 26  1.3  0.4 10.5  1.2  6.7 WNW   W      STEEP  5.8 272
2021 04 12 19 56  1.4  0.5 10.5  1.3  8.3 WNW WNW    AVERAGE  6.0 286
2021 04 12 19 26  1.2  0.5 16.7  1.2  9.9 SSW WNW    AVERAGE  6.2 283
2021 04 12 18 56  1.3  0.5 11.1  1.2  7.7 WNW   W    AVERAGE  6.1 279
2021 04 12 18 26  1.2  0.5 16.7  1.2  7.1 SSW   W    AVERAGE  6.1 268
2021 04 12 17 56  1.1  0.4 10.5  1.1  8.3   W   W    AVERAGE  6.0 274
2021 04 12 17 26  1.2  0.4 10.5  1.1  7.7 WNW   W    AVERAGE  6.1 272
2021 04 12 16 56  1.2  0.4 10.5  1.1  9.9   W   W    AVERAGE  6.1 276
2021 04 12 16 26  1.2  0.5 11.1  1.1  9.1   W   W    AVERAGE  5.9 272
2021 04 12 15 56  1.2  0.5 10.5  1.1  9.1   W   W    AVERAGE  5.9 278
2021 04 12 15 26  1.2  0.4 18.2  1.2  9.9   S WNW    AVERAGE  5.8 286
2021 04 12 14 56  1.3  0.5 10.5  1.2  7.7 WNW   W    AVERAGE  5.8 271
2021 04 12 14 26  1.3  0.5 11.8  1.2  7.1   W   W      STEEP  5.8 265
2021 04 12 13 56  1.3  0.5 10.5  1.2  7.7   W   W    AVERAGE  5.6 278
2021 04 12 13 26  1.3  0.4 11.8  1.2  8.3 WSW   W    AVERAGE  5.7 275
2021 04 12 12 56  1.4  0.4 13.3  1.3  8.3 WSW   W    AVERAGE  5.8 268
2021 04 12 12 26  1.4  0.4 11.1  1.3  6.7   W   W      STEEP  6.0 268
2021 04 12 11 56  1.3  0.5 10.5  1.2  7.7   W   W    AVERAGE  6.0 274
2021 04 12 11 26  1.4  0.5 10.5  1.3  7.1   W   W      STEEP  6.2 271
2021 04 12 10 56  1.5  0.5 18.2  1.4  7.1 SSW   W      STEEP  6.4 275
2021 04 12 10 26  1.5  0.4 18.2  1.4  6.2 SSW   W      STEEP  6.0 272
2021 04 12 09 56  1.6  0.5 18.2  1.5  7.7 SSW   W    AVERAGE  6.5 268
2021 04 12 09 26  1.6  0.5 18.2  1.6  7.7 SSW   W    AVERAGE  6.3 279
2021 04 12 08 56  1.8  0.5 10.5  1.7  7.1   W   W      STEEP  6.5 276
2021 04 12 08 26  1.9  0.5 10.5  1.8  7.1   W   W      STEEP  6.4 276
2021 04 12 07 56  1.8  0.5 10.5  1.8  7.7 WNW   W      STEEP  6.5 281
2021 04 12 07 26  1.8  0.5 10.5  1.7  7.7   W   W      STEEP  6.3 278
2021 04 12 06 56  1.9  0.5 11.1  1.8  7.7 WSW   W      STEEP  6.4 281
2021 04 12 06 26  2.0  0.5 11.1  1.9  7.1   W   W      STEEP  6.2 276
2021 04 12 05 56  2.0  0.6 10.5  1.9  7.1   W   W      STEEP  6.1 278
2021 04 12 05 26  1.9  0.5 18.2  1.8  7.1 SSW   W      STEEP  5.9 267
2021 04 12 04 56  2.0  0.5 18.2  1.9  7.7  SW   W      STEEP  5.7 276
2021 04 12 04 26  2.1  0.5 10.5  2.1  7.7   W   W      STEEP  5.6 276
2021 04 12 03 56  2.1  0.5 10.5  2.0  6.2 WSW   W VERY_STEEP  5.5 272
2021 04 12 03 26  1.9  0.5 18.2  1.9  6.2 SSW   W VERY_STEEP  5.5 276
2021 04 12 02 56  1.8  0.5 11.8  1.8  7.1  SW   W      STEEP  5.4 278
2021 04 12 02 26  1.8  0.4 18.2  1.7  5.6 WSW   W VERY_STEEP  5.2 278
2021 04 12 01 56  1.9  0.5 18.2  1.8  7.1 WSW   W      STEEP  5.4 271
2021 04 12 01 26  1.9  0.5 18.2  1.9  5.6  SW   W VERY_STEEP  5.3 278
2021 04 12 00 56  1.8  0.4 18.2  1.8  6.7  SW   W      STEEP  5.4 276
2021 04 12 00 26  1.6  0.5 18.2  1.5  5.6   S   W VERY_STEEP  5.4 278
2021 04 11 23 56  1.6  0.5 18.2  1.5  6.2 SSW   W      STEEP  5.5 272
2021 04 11 23 26  1.5  0.5 18.2  1.4  6.2  SW   W      STEEP  5.7 272
2021 04 11 22 56  1.4  0.4 18.2  1.4  6.7  SW   W      STEEP  5.7 267
2021 04 11 22 26  1.3  0.5 18.2  1.2  8.3 SSW   W    AVERAGE  6.0 212
2021 04 11 21 56  1.3  0.4 13.3  1.2  7.7 SSW   W    AVERAGE  6.1 278
2021 04 11 21 26  1.3  0.4 12.5  1.2  7.1 SSW   W    AVERAGE  6.1 275
2021 04 11 20 56  1.3  0.4 11.8  1.2  6.7  SW   W      STEEP  6.1 268
2021 04 11 20 26  1.5  0.5 18.2  1.4  6.7  SW   W      STEEP  6.0 269
2021 04 11 19 56  1.5  0.5 12.5  1.5  6.7 SSW   W      STEEP  6.0 276
2021 04 11 19 26  1.7  0.5 10.5  1.7  6.7 WNW WNW      STEEP  6.1 286
2021 04 11 18 56  1.7  0.5 18.2  1.7  6.7  SW   W      STEEP  5.9 275
2021 04 11 18 26  1.9  0.5 10.5  1.8  8.3   W WNW    AVERAGE  5.5 282
2021 04 11 17 56  1.8  0.5 10.5  1.8  6.7 WNW   W      STEEP  5.5 279
2021 04 11 17 26  1.9  0.5 10.5  1.8  6.2   W   W VERY_STEEP  5.5 281
2021 04 11 16 56  1.8  0.5 13.3  1.7  7.1 SSW   W      STEEP  5.3 275
2021 04 11 16 26  1.9  0.5 10.5  1.8  7.7   W   W      STEEP  5.4 276
2021 04 11 15 56  1.7  0.4 10.5  1.7  8.3   W   W    AVERAGE  5.6 281
2021 04 11 15 26  1.6  0.5 10.5  1.5  8.3 WNW   W    AVERAGE  5.4 272
2021 04 11 14 56  1.6  0.5 10.5  1.6  7.7   W   W    AVERAGE  5.6 279
2021 04 11 14 26  1.5  0.4 10.5  1.5  6.2   W   W      STEEP  5.4 278
2021 04 11 13 56  1.5  0.4 12.5  1.5  5.9  SW WNW VERY_STEEP  5.4 286
2021 04 11 13 26  1.6  0.5 10.5  1.5  5.9 WNW WNW VERY_STEEP  5.5 286
2021 04 11 12 56  1.6  0.4 13.3  1.5  6.2 SSW WNW      STEEP  5.2 282
2021 04 11 12 26  1.4  0.4 10.5  1.3  6.7   W   W      STEEP  5.2 275
2021 04 11 11 56  1.4  0.4 11.1  1.3  6.7   W   W      STEEP  5.4 272
2021 04 11 11 26  1.3  0.4 13.3  1.3  7.7 SSW   W    AVERAGE  5.7 265
2021 04 11 10 56  1.4  0.5 10.5  1.3  7.1   W   W      STEEP  5.8 271
2021 04 11 10 26  1.4  0.4 11.1  1.3  7.1   W   W      STEEP  6.0 271
2021 04 11 09 56  1.3  0.5 12.5  1.2  6.7 SSW   W      STEEP  5.8 269
2021 04 11 09 26  1.3  0.5 12.5  1.3  6.2 SSW   W      STEEP  5.9 274
2021 04 11 08 56  1.4  0.5 12.5  1.4  6.7 SSW   W      STEEP  6.3 272
2021 04 11 08 26  1.4  0.5 11.1  1.3  6.7   W   W      STEEP  6.3 274
2021 04 11 07 56  1.4  0.5 10.5  1.3  7.1   W   W      STEEP  6.4 268
2021 04 11 07 26  1.4  0.5 12.5  1.3  7.1 SSW   W      STEEP  6.3 271
2021 04 11 06 56  1.4  0.5 12.5  1.3  6.7  SW   W      STEEP  6.2 272
2021 04 11 06 26  1.6  0.5 13.3  1.5  7.1 SSW   W      STEEP  6.3 279
2021 04 11 05 56  1.6  0.5 12.5  1.6  6.7   S   W      STEEP  6.3 281
2021 04 11 05 26  1.8  0.4 10.5  1.7  6.7 WNW   W      STEEP  6.1 276
2021 04 11 04 56  1.8  0.4 10.5  1.8  7.1   W WNW      STEEP  6.1 282
2021 04 11 04 26  1.9  0.5 10.5  1.9  6.7   W   W      STEEP  6.1 279
2021 04 11 03 56  1.9  0.5 13.3  1.8  5.9 SSW   W VERY_STEEP  5.5 276
2021 04 11 03 26  1.9  0.5 13.3  1.9  6.2  SW   W VERY_STEEP  5.5 279
2021 04 11 02 56  2.0  0.4 11.1  2.0  7.7 WSW WNW      STEEP  5.4 286
2021 04 11 02 26  1.9  0.5 14.3  1.9  5.9 SSW   W VERY_STEEP  5.3 281
2021 04 11 01 56  2.0  0.5 13.3  1.9  6.2 SSW   W VERY_STEEP  5.3 276
2021 04 11 01 26  1.9  0.4 11.1  1.9  6.7   W   W      STEEP  5.3 276
2021 04 11 00 56  1.9  0.5 10.5  1.8  5.9   W   W VERY_STEEP  5.3 279
2021 04 11 00 26  1.9  0.4 13.3  1.9  7.1  SW   W      STEEP  5.4 274
2021 04 10 23 56  1.7  0.3 13.3  1.7  5.6 WSW WNW VERY_STEEP  5.3 283
2021 04 10 23 26  1.8  0.4 10.5  1.7  5.9   W   W VERY_STEEP  5.4 279
2021 04 10 22 56  1.8  0.4 14.3  1.7  5.6  SW WNW VERY_STEEP  5.4 285
2021 04 10 22 26  1.7  0.5 10.5  1.6  6.2   W WNW VERY_STEEP  5.6 282
2021 04 10 21 56  1.8  0.5 13.3  1.8  6.2  SW WNW VERY_STEEP  5.7 288
2021 04 10 21 26  1.8  0.5 10.5  1.7  5.9   W WNW VERY_STEEP  5.6 288
2021 04 10 20 56  2.0  0.4 10.5  2.0  6.7   W WNW      STEEP  5.8 286
2021 04 10 20 26  1.9  0.5 10.5  1.8  7.1 WNW WNW      STEEP  5.8 285
2021 04 10 19 56  2.1  0.5 13.3  2.0  7.1 SSW WNW      STEEP  5.9 285
2021 04 10 19 26  2.3  0.5 10.5  2.3  6.7 WNW WNW VERY_STEEP  6.0 285
2021 04 10 18 56  2.2  0.4 13.3  2.1  7.7 WSW WNW      STEEP  6.0 285
2021 04 10 18 26  2.3  0.5 11.1  2.2  6.7   W WNW VERY_STEEP  5.8 286
2021 04 10 17 56  2.4  0.4 10.5  2.4  6.7 WNW WNW VERY_STEEP  5.9 288
2021 04 10 17 26  2.4  0.5 10.5  2.3  7.7   W   W      STEEP  5.9 278
2021 04 10 16 56  2.4  0.4 10.5  2.3  7.1   W   W      STEEP  5.8 274
2021 04 10 16 26  2.4  0.4 10.5  2.4  6.7 WNW   W VERY_STEEP  5.6 278
2021 04 10 15 56  2.5  0.5 13.3  2.5  6.2  SW WNW VERY_STEEP  5.7 283
2021 04 10 15 26  2.4  0.5 13.3  2.4  6.7 WSW   W VERY_STEEP  5.8 278
2021 04 10 14 56  2.2  0.4 13.3  2.2  6.7 SSW   W VERY_STEEP  5.6 281
2021 04 10 14 26  2.1  0.4 10.5  2.1  7.1   W   W      STEEP  5.4 269
2021 04 10 13 56  2.0  0.4 10.5  2.0  6.2   W WNW VERY_STEEP  5.3 286
2021 04 10 13 26  2.1  0.4 13.3  2.1  5.9   S WNW VERY_STEEP  5.3 286
2021 04 10 12 56  2.2  0.4 14.3  2.1  6.7  SW   W VERY_STEEP  5.5 279
2021 04 10 12 26  2.0  0.4 10.5  2.0  6.7 WNW   W      STEEP  5.3 279
2021 04 10 11 56  1.9  0.5 13.3  1.9  6.2 SSW   W VERY_STEEP  5.4 278
2021 04 10 11 26  1.9  0.4 11.1  1.9  5.9   W WNW VERY_STEEP  5.4 283
2021 04 10 10 56  2.0  0.4 11.8  1.9  6.7 WSW   W      STEEP  5.5 278
2021 04 10 10 26  2.2  0.4 13.3  2.2  6.2 WSW WNW VERY_STEEP  5.6 283
2021 04 10 09 56  2.2  0.4 10.5  2.2  6.7   W WNW VERY_STEEP  5.6 283
2021 04 10 09 26  2.3  0.5 13.3  2.3  7.1 WSW WNW      STEEP  5.8 286
2021 04 10 08 56  2.4  0.5 13.3  2.4  6.2 WSW WNW VERY_STEEP  5.9 290
2021 04 10 08 26  2.4  0.5 14.3  2.4  6.7 SSW WNW VERY_STEEP  6.0 289
2021 04 10 07 56  2.4  0.4 13.3  2.3  7.1 SSW   W      STEEP  5.8 281
2021 04 10 07 26  2.2  0.5 14.3  2.2  6.7   S WNW VERY_STEEP  5.8 283
2021 04 10 06 56  2.1  0.5 13.3  2.1  6.2 SSW WNW VERY_STEEP  5.7 285
2021 04 10 06 26  2.0  0.4 14.3  2.0  7.1  SW   W      STEEP  5.8 278
2021 04 10 05 56  2.0  0.5 14.3  1.9  7.1 SSW   W      STEEP  5.6 281
2021 04 10 05 26  2.1  0.5 13.3  2.0  6.7  SW   W      STEEP  5.6 276
2021 04 10 04 56  2.3  0.5 14.3  2.3  6.7 SSW WNW VERY_STEEP  5.7 282
2021 04 10 04 26  2.1  0.4 14.3  2.1  6.7 SSW WNW VERY_STEEP  5.6 288
2021 04 10 03 56  2.2  0.5 14.3  2.1  6.7 SSW WNW VERY_STEEP  5.6 285
2021 04 10 03 26  2.3  0.4 14.3  2.2  6.2  SW WNW VERY_STEEP  5.6 286
2021 04 10 02 56  2.3  0.5 13.3  2.3  7.1 SSW   W      STEEP  5.4 279
2021 04 10 02 26  2.0  0.4 10.5  2.0  6.2 WSW WNW VERY_STEEP  5.2 283
2021 04 10 01 56  2.1  0.4 14.3  2.0  5.9  SW WNW VERY_STEEP  5.1 285
2021 04 10 01 26  2.0  0.3 14.3  2.0  7.7   S   W      STEEP  5.1 278
2021 04 10 00 56  1.9  0.4 14.3  1.9  6.2   S   W VERY_STEEP  5.0 279
2021 04 10 00 26  1.9  0.5 14.3  1.9  5.9   S WNW VERY_STEEP  5.1 283
2021 04 09 23 56  2.1  0.4 14.3  2.1  5.3 SSW WNW VERY_STEEP  5.2 282
2021 04 09 22 26  1.8  0.3 14.3  1.8  5.9  SW   W VERY_STEEP  5.2 279
2021 04 09 21 56  1.9  0.4 14.3  1.9  5.6  SW WNW VERY_STEEP  5.3 283
2021 04 09 21 26  1.7  0.4 14.3  1.7  6.7   S   W      STEEP  5.1 271
2021 04 09 20 56  1.6  0.3 14.3  1.6  6.7 SSW   W      STEEP  5.1 276
2021 04 09 20 26  1.4  0.4 14.3  1.4  5.9 SSW   W VERY_STEEP  5.5 275
2021 04 09 19 56  1.5  0.5 14.3  1.4  6.7 SSW   W      STEEP  5.9 272
2021 04 09 19 26  1.3  0.3 14.3  1.2  6.2 SSW   W      STEEP  5.8 275
2021 04 09 18 56  1.3  0.4 14.3  1.3  7.7   S   W    AVERAGE  6.0 279
2021 04 09 18 26  1.4  0.4 14.3  1.4  7.7   S   W    AVERAGE  6.0 279
2021 04 09 17 56  1.4  0.4 14.3  1.3  7.7 SSW   W    AVERAGE  6.0 281
2021 04 09 17 26  1.5  0.4 14.3  1.4  7.1   S WNW      STEEP  5.9 282
2021 04 09 16 56  1.4  0.4 14.3  1.4  8.3 SSW WNW    AVERAGE  6.0 289
2021 04 09 16 26  1.4  0.4 14.3  1.4  8.3 SSW WNW    AVERAGE  6.0 283
2021 04 09 15 56  1.4  0.4 14.3  1.4  6.7 SSW   W      STEEP  6.1 269
2021 04 09 15 26  1.5  0.4 14.3  1.4  9.1 SSW WNW    AVERAGE  5.9 288
2021 04 09 14 56  1.4  0.4 14.3  1.4  6.2 SSW   W      STEEP  5.7 278
2021 04 09 14 26  1.5  0.4 14.3  1.4  6.2  SW   W      STEEP  5.6 275
2021 04 09 13 56  1.4  0.4 14.3  1.4  6.7   S   W      STEEP  5.6 275
2021 04 09 13 26  1.4  0.4 14.3  1.4  5.6 SSW   W VERY_STEEP  5.4 274
2021 04 09 12 56  1.6  0.4 15.4  1.5  5.9 SSW   W VERY_STEEP  5.4 278
2021 04 09 11 26  1.8  0.4 15.4  1.7  6.2 SSW   W VERY_STEEP  5.2 279
2021 04 09 10 56  1.8  0.5 14.3  1.8  5.6 SSW WNW VERY_STEEP  5.3 285
2021 04 09 10 26  1.9  0.4 14.3  1.9  5.9 SSW   W VERY_STEEP  5.4 279
2021 04 09 09 56  2.1  0.5 15.4  2.1  6.2 SSW WNW VERY_STEEP  5.5 282
2021 04 09 09 26  2.1  0.5 15.4  2.0  5.3 SSW WNW VERY_STEEP  5.5 289
2021 04 09 08 56  2.1  0.4 14.3  2.1  7.1 WSW   W      STEEP  5.5 279
2021 04 09 08 26  2.1  0.5 15.4  2.1  6.7   S WNW VERY_STEEP  5.7 286
2021 04 09 07 56  2.1  0.5 14.3  2.0  5.9 SSW WNW VERY_STEEP  5.6 289
2021 04 09 07 26  2.3  0.5 15.4  2.3  7.1   S WNW      STEEP  5.8 288
2021 04 09 06 56  2.2  0.5 15.4  2.1  6.7 SSW WNW VERY_STEEP  5.6 285
2021 04 09 06 26  2.1  0.4 15.4  2.1  6.7 SSE WNW      STEEP  5.6 285
2021 04 09 05 56  2.2  0.4 15.4  2.2  7.1 SSW   W      STEEP  5.6 279
2021 04 09 05 26  2.2  0.5 15.4  2.1  6.2 SSW WNW VERY_STEEP  5.5 283
2021 04 09 04 56  2.0  0.5 15.4  2.0  7.1 SSW   W      STEEP  5.5 278
2021 04 09 04 26  2.0  0.4 15.4  2.0  5.9  SW WNW VERY_STEEP  5.3 285
2021 04 09 03 56  2.2  0.5 15.4  2.2  5.6   S WNW VERY_STEEP  5.4 285
2021 04 09 03 26  2.2  0.4 14.3  2.2  6.2  SW   W VERY_STEEP  5.3 279
2021 04 09 02 56  2.2  0.5 15.4  2.2  6.7   S   W VERY_STEEP  5.4 275
2021 04 09 02 26  2.2  0.5 15.4  2.2  6.7 SSW   W VERY_STEEP  5.3 276
2021 04 09 01 56  2.3  0.5 15.4  2.2  5.6   S WNW VERY_STEEP  5.4 286
2021 04 09 01 26  2.2  0.5 14.3  2.2  6.2  SW   W VERY_STEEP  5.3 281
2021 04 09 00 56  2.3  0.4 15.4  2.3  5.6   S WNW VERY_STEEP  5.4 289
2021 04 09 00 26  2.2  0.5 15.4  2.2  6.2 SSW WNW VERY_STEEP  5.5 288
2021 04 08 23 56  2.3  0.5 15.4  2.2  6.2 SSW   W VERY_STEEP  5.6 281
2021 04 08 23 26  2.0  0.4 15.4  2.0  6.7   S   W      STEEP  5.4 281
2021 04 08 22 56  2.1  0.4 12.5  2.0  6.7  SW   W      STEEP  5.4 278
2021 04 08 22 26  2.1  0.5 15.4  2.1  6.7 SSW   W VERY_STEEP  5.5 279
2021 04 08 21 56  1.9  0.5 15.4  1.8  6.7 SSW   W      STEEP  5.4 274
2021 04 08 21 26  2.1  0.5 15.4  2.1  6.7  SW   W      STEEP  5.4 276
2021 04 08 20 56  1.9  0.4 15.4  1.9  6.7 SSW   W      STEEP  5.3 278
2021 04 08 20 26  2.0  0.4 15.4  1.9  6.2 SSW WNW VERY_STEEP  5.2 283
2021 04 08 19 56  1.9  0.5 15.4  1.8  6.7 SSW   W      STEEP  5.2 276
2021 04 08 19 26  1.9  0.5 15.4  1.9  5.9   S   W VERY_STEEP  5.4 279
2021 04 08 18 56  1.8  0.5 15.4  1.8  6.7   S   W      STEEP  5.5 271
2021 04 08 17 26  1.8  0.5 15.4  1.8  6.2 SSW   W VERY_STEEP  5.4 279
2021 04 08 16 56  2.0  0.6 15.4  1.9  5.9 SSW WNW VERY_STEEP  5.5 285
2021 04 08 16 26  2.0  0.4 15.4  1.9  6.7  SW WNW      STEEP  5.5 285
2021 04 08 15 56  1.9  0.6 15.4  1.8  6.2  SW   W VERY_STEEP  5.5 281
2021 04 08 15 26  1.9  0.5 15.4  1.8  6.2   S   W VERY_STEEP  5.2 279
2021 04 08 14 56  1.9  0.5 15.4  1.8  7.1 SSW   W      STEEP  5.3 272
2021 04 08 14 26  1.8  0.5 15.4  1.8  5.6 SSW WNW VERY_STEEP  5.2 282
2021 04 08 13 56  1.9  0.5 15.4  1.8  5.9 SSW WNW VERY_STEEP  5.1 283
2021 04 08 13 26  1.9  0.5 15.4  1.8  7.1  SW   W      STEEP  5.3 278
2021 04 08 12 56  1.9  0.5 15.4  1.8  6.2 SSW WNW VERY_STEEP  5.2 283
2021 04 08 12 26  2.0  0.4 15.4  1.9  5.6 WSW WNW VERY_STEEP  5.2 286
2021 04 08 11 56  2.1  0.5 15.4  2.1  6.2   S   W VERY_STEEP  5.3 279
2021 04 08 11 26  1.9  0.5 15.4  1.8  5.6   S WNW VERY_STEEP  5.1 289
2021 04 08 10 56  1.9  0.5 15.4  1.9  5.9 SSW WNW VERY_STEEP  5.2 286
2021 04 08 10 26  1.8  0.5 16.7  1.7  5.9   S   W VERY_STEEP  5.1 276
2021 04 08 09 56  1.8  0.5 16.7  1.7  6.7 SSW   W      STEEP  5.1 272
2021 04 08 09 26  1.8  0.5 16.7  1.7  6.2  SW   W VERY_STEEP  5.2 274
2021 04 08 08 56  1.7  0.5 16.7  1.6  5.9 SSW   W VERY_STEEP  5.2 278
2021 04 08 08 26  1.9  0.4 16.7  1.8  6.2   S   W VERY_STEEP  5.3 276
2021 04 08 07 56  1.9  0.4 16.7  1.8  6.2 SSW   W VERY_STEEP  5.3 276
2021 04 08 07 26  1.8  0.5 15.4  1.7  6.2   S   W VERY_STEEP  5.3 275
2021 04 08 06 56  1.7  0.4 16.7  1.7  5.9   S   W VERY_STEEP  5.2 278
2021 04 08 06 26  1.8  0.5 16.7  1.7  6.2   S   W VERY_STEEP  5.3 279
2021 04 08 05 56  1.6  0.5 13.3  1.6  5.0 SSW WNW VERY_STEEP  5.3 286
2021 04 08 05 26  1.6  0.5 16.7  1.6  5.3  SW WNW VERY_STEEP  5.3 285
2021 04 08 04 56  1.6  0.5 16.7  1.6  6.7 SSW   W      STEEP  5.2 275
2021 04 08 04 26  1.6  0.5 16.7  1.6  6.7 SSW   W      STEEP  5.2 271
2021 04 08 03 56  1.5  0.5 16.7  1.4  4.8  SW   W VERY_STEEP  5.0 278
2021 04 08 03 26  1.4  0.5 13.3  1.4  5.3 SSW   W VERY_STEEP  5.0 274
2021 04 08 02 56  1.5  0.5 13.3  1.4  5.3 SSW   W VERY_STEEP  5.0 278
2021 04 08 02 26  1.4  0.5 14.3  1.3  5.0   S   W VERY_STEEP  5.0 279
2021 04 08 01 56  1.5  0.5 13.3  1.4  5.3 SSW   W VERY_STEEP  5.0 281
2021 04 08 01 26  1.5  0.5 16.7  1.4  4.5 SSW   W VERY_STEEP  5.0 279
