#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2021 04 18 12 26  1.2  0.7 15.4  1.0  6.7 SSW   W    AVERAGE  6.5 199
2021 04 18 11 56  1.2  0.6 13.3  1.1  7.1  SW   W    AVERAGE  6.5 271
2021 04 18 11 26  1.3  0.7 14.3  1.1  7.7 SSW   W    AVERAGE  6.5 206
2021 04 18 10 56  1.3  0.6 14.3  1.1  7.7  SW   W    AVERAGE  6.3 269
2021 04 18 10 26  1.3  0.6 15.4  1.1  7.1  SW   W    AVERAGE  6.2 229
2021 04 18 09 56  1.3  0.7 15.4  1.1  6.2 SSW   W    AVERAGE  6.4 210
2021 04 18 09 26  1.4  0.7 15.4  1.2  5.6  SW   W    AVERAGE  6.4 223
2021 04 18 08 56  1.4  0.6 14.3  1.2  5.6  SW   W VERY_STEEP  6.1 279
2021 04 18 08 26  1.4  0.7 15.4  1.2  7.1 SSW   W    AVERAGE  6.3 212
2021 04 18 07 56  1.4  0.6 14.3  1.3  7.7  SW   W    AVERAGE  6.0 271
2021 04 18 07 26  1.4  0.7 15.4  1.2  6.2 SSW   W    AVERAGE  6.1 205
2021 04 18 06 56  1.5  0.6 15.4  1.4  6.7  SW   W      STEEP  6.0 268
2021 04 18 06 26  1.6  0.7 14.3  1.4  6.2  SW   W      STEEP  6.0 275
2021 04 18 05 56  1.7  0.7 15.4  1.6  6.7 SSW   W      STEEP  5.8 274
2021 04 18 05 26  1.7  0.7 12.5  1.5  6.2 WSW   W VERY_STEEP  5.7 279
2021 04 18 04 56  1.8  0.7 15.4  1.7  6.2 SSW WNW VERY_STEEP  5.7 282
2021 04 18 04 26  2.0  0.7 15.4  1.9  6.2  SW WNW VERY_STEEP  5.6 282
2021 04 18 03 56  1.9  0.7 15.4  1.7  5.9 SSW WNW VERY_STEEP  5.5 286
2021 04 18 03 26  1.8  0.7 15.4  1.7  5.9 SSW   W VERY_STEEP  5.6 279
2021 04 18 02 56  1.8  0.8 15.4  1.6  6.2 SSW   W    AVERAGE  5.8 212
2021 04 18 02 26  1.8  0.8 15.4  1.6  6.2  SW   W VERY_STEEP  5.7 276
2021 04 18 01 56  1.8  0.8 15.4  1.6  5.9 SSW WNW    AVERAGE  5.7 212
2021 04 18 01 26  1.7  0.8 15.4  1.5  6.2  SW   W    AVERAGE  5.5 222
2021 04 18 00 56  1.7  0.8 15.4  1.5  6.7  SW   W    AVERAGE  5.7 217
2021 04 18 00 26  1.6  0.7 12.5  1.5  5.6   W WNW VERY_STEEP  5.5 285
2021 04 17 23 56  1.6  0.7 15.4  1.5  5.6 SSW WNW    AVERAGE  5.4 207
2021 04 17 23 26  1.5  0.7 15.4  1.3  6.2  SW   W    AVERAGE  5.4 220
2021 04 17 22 56  1.5  0.7 15.4  1.4  6.2 SSW   W    AVERAGE  5.3 200
2021 04 17 22 26  1.5  0.7 15.4  1.4  4.8  SW WNW    AVERAGE  5.3 217
2021 04 17 21 56  1.5  0.9 15.4  1.2  7.1  SW   W    AVERAGE  5.7 223
2021 04 17 21 26  1.3  0.7 15.4  1.1  7.1  SW   W    AVERAGE  5.6 219
2021 04 17 20 56  1.3  0.8 15.4  1.0  6.7  SW   W    AVERAGE  6.3 216
2021 04 17 20 26  1.1  0.7 13.3  0.9  6.7 WSW   W    AVERAGE  6.4 251
2021 04 17 19 56  1.1  0.7 15.4  0.9  7.1 SSW   W    AVERAGE  7.0 213
2021 04 17 19 26  1.1  0.8 12.5  0.8  7.1   W   W      SWELL  7.1 267
2021 04 17 18 56  1.1  0.7 15.4  0.9  6.7  SW   W    AVERAGE  6.6 217
2021 04 17 18 26  1.1  0.7 15.4  0.9  7.1  SW   W    AVERAGE  6.6 224
2021 04 17 17 56  1.1  0.7 13.3  0.9  6.7 WSW   W    AVERAGE  6.6 251
2021 04 17 17 26  1.2  0.8 13.3  0.9  7.1   W   W    AVERAGE  7.2 260
2021 04 17 16 56  1.1  0.7 15.4  0.9  6.7  SW   W    AVERAGE  6.7 217
2021 04 17 16 26  1.2  0.8 15.4  0.9  7.1  SW   W    AVERAGE  7.0 230
2021 04 17 15 56  1.2  0.7 13.3  1.0  7.1   W   W    AVERAGE  6.6 261
2021 04 17 15 26  1.3  0.7 13.3  1.1  6.7 WSW   W    AVERAGE  6.7 247
2021 04 17 14 56  1.3  0.7 15.4  1.1  7.1  SW   W    AVERAGE  6.5 219
2021 04 17 14 26  1.4  0.8 15.4  1.1  7.1  SW   W    AVERAGE  6.9 220
2021 04 17 13 56  1.3  0.7 15.4  1.1  6.7  SW   W    AVERAGE  6.5 216
2021 04 17 13 26  1.3  0.8 15.4  1.1  7.1 SSW   W    AVERAGE  6.7 210
2021 04 17 12 56  1.4  0.8 15.4  1.1  7.1 SSW   W    AVERAGE  6.8 209
2021 04 17 12 26  1.4  0.8 14.3  1.1  7.7  SW   W    AVERAGE  6.9 220
2021 04 17 11 56  1.4  0.8 15.4  1.1  7.1 SSW   W    AVERAGE  6.8 202
2021 04 17 11 26  1.3  0.7 13.3  1.1  7.7 WSW   W    AVERAGE  6.5 245
2021 04 17 10 56  1.5  0.8 15.4  1.2  7.1 SSW   W    AVERAGE  6.8 203
2021 04 17 10 26  1.4  0.7 16.7  1.2  6.7 SSW   W    AVERAGE  6.5 202
2021 04 17 09 56  1.5  0.8 15.4  1.2  6.7  SW   W    AVERAGE  6.7 220
2021 04 17 09 26  1.5  0.8 15.4  1.3  7.1  SW   W    AVERAGE  6.4 231
2021 04 17 08 56  1.6  0.8 16.7  1.4  5.6 SSW   W    AVERAGE  6.2 202
2021 04 17 08 26  1.6  0.6 15.4  1.5  6.7  SW   W      STEEP  5.7 281
2021 04 17 07 56  1.8  0.9 15.4  1.6  6.2 SSW   W    AVERAGE  6.0 212
2021 04 17 07 26  1.8  0.7 14.3  1.7  5.9 WSW WNW VERY_STEEP  5.7 285
2021 04 17 06 56  1.8  0.7 15.4  1.6  5.9 SSW WNW VERY_STEEP  5.4 283
2021 04 17 06 26  1.8  0.8 15.4  1.7  5.9  SW WNW    AVERAGE  5.5 236
2021 04 17 05 56  1.8  0.7 15.4  1.6  6.7  SW WNW      STEEP  5.5 286
2021 04 17 05 26  1.8  0.8 16.7  1.7  6.2 SSW   W VERY_STEEP  5.4 281
2021 04 17 04 56  1.9  0.8 15.4  1.7  5.6 SSW WNW    AVERAGE  5.4 205
2021 04 17 04 26  1.9  0.7 15.4  1.8  5.9 SSW   W VERY_STEEP  5.2 281
2021 04 17 03 56  1.9  0.8 15.4  1.7  5.9 SSW   W VERY_STEEP  5.4 281
2021 04 17 03 26  1.8  0.7 14.3  1.6  5.6  SW   W VERY_STEEP  5.2 281
2021 04 17 02 56  1.8  0.8 15.4  1.6  5.6 SSW   W VERY_STEEP  5.3 274
2021 04 17 02 26  1.8  0.7 15.4  1.6  5.6 SSW   W VERY_STEEP  5.3 275
2021 04 17 01 56  1.7  0.8 16.7  1.6  5.3 SSW WNW    AVERAGE  5.5 207
2021 04 17 01 26  1.8  0.8 15.4  1.6  5.9 SSW   W VERY_STEEP  5.6 276
2021 04 17 00 56  1.7  0.6 14.3  1.6  5.9 WSW   W VERY_STEEP  5.4 268
2021 04 17 00 26  1.6  0.8 15.4  1.5  5.6  SW   W    AVERAGE  5.6 217
2021 04 16 23 56  1.6  0.8 16.7  1.4  5.6  SW   W    AVERAGE  5.5 231
2021 04 16 23 26  1.6  0.8 15.4  1.4  5.6 SSW   W    AVERAGE  5.7 210
2021 04 16 22 56  1.4  0.7 16.7  1.2  5.6 SSW   W    AVERAGE  5.5 206
2021 04 16 22 26  1.4  0.7 14.3  1.2  5.9  SW   W    AVERAGE  5.6 227
2021 04 16 21 56  1.2  0.7 15.4  1.0  5.0  SW   W    AVERAGE  5.7 215
2021 04 16 21 26  1.2  0.8 15.4  0.9  5.9 SSW   W    AVERAGE  6.4 193
2021 04 16 20 56  1.2  0.8 16.7  0.8  6.2 SSW   W      SWELL  6.9 203
2021 04 16 20 26  1.1  0.7 15.4  0.8  5.3  SW   W    AVERAGE  6.8 220
2021 04 16 19 56  1.2  0.9 15.4  0.8  5.9 SSW   W      SWELL  7.3 207
2021 04 16 19 26  1.1  0.8 15.4  0.8  5.9  SW   W      SWELL  6.9 219
2021 04 16 18 56  1.1  0.8 14.3  0.7  5.9 WSW   W      SWELL  7.0 238
2021 04 16 18 26  1.2  0.8 16.7  0.8  6.2 SSW   W      SWELL  7.4 212
2021 04 16 17 56  1.2  0.8 16.7  0.9  6.2 SSW   W    AVERAGE  7.0 199
2021 04 16 17 26  1.2  0.8 16.7  0.9  5.9 SSW   W    AVERAGE  6.8 206
2021 04 16 16 56  1.1  0.8 14.3  0.9  5.0  SW   W    AVERAGE  6.3 234
2021 04 16 16 26  1.2  0.8 15.4  1.0  6.2  SW   W    AVERAGE  6.3 215
2021 04 16 15 56  1.2  0.7 16.7  0.9  6.2 SSW   W    AVERAGE  6.2 199
2021 04 16 15 26  1.2  0.6 16.7  1.0  5.6 SSW   W    AVERAGE  5.7 205
2021 04 16 14 56  1.3  0.7 16.7  1.0  5.9 SSW   W    AVERAGE  6.0 213
2021 04 16 14 26  1.3  0.9 15.4  1.0  5.6  SW   W    AVERAGE  6.6 217
2021 04 16 13 56  1.3  0.8 15.4  1.0  5.3  SW   W    AVERAGE  6.4 224
2021 04 16 13 26  1.3  0.8 16.7  1.1  5.6 SSW   W    AVERAGE  6.1 213
2021 04 16 12 56  1.3  0.8 14.3  1.0  5.9  SW   W    AVERAGE  6.3 227
2021 04 16 12 26  1.3  0.8 15.4  1.1  5.3  SW   W    AVERAGE  6.3 224
2021 04 16 11 56  1.3  0.8 16.7  1.0  5.9  SW   W    AVERAGE  6.3 215
2021 04 16 11 26  1.4  0.9 15.4  1.1  5.9 SSW   W    AVERAGE  6.5 213
2021 04 16 10 56  1.3  0.8 13.3  1.0  5.3 WSW   W    AVERAGE  6.2 252
2021 04 16 10 26  1.2  0.8 16.7  1.0  5.6  SW   W    AVERAGE  6.2 216
2021 04 16 09 56  1.3  0.8 16.7  1.0  5.6  SW   W    AVERAGE  6.3 217
2021 04 16 09 26  1.2  0.8 16.7  0.9  4.3 SSW WNW    AVERAGE  6.4 200
2021 04 16 08 56  1.2  0.9 15.4  0.8  5.0  SW   W      SWELL  6.9 226
2021 04 16 08 26  1.2  0.8 16.7  0.9  5.3 SSW   W    AVERAGE  6.1 195
2021 04 16 07 56  1.1  0.6 16.7  0.8  5.0 SSW   W    AVERAGE  5.6 198
2021 04 16 07 26  1.2  0.7 15.4  0.9  4.3 SSW WNW    AVERAGE  5.5 199
2021 04 16 06 56  1.2  0.8 14.3  1.0  4.5 SSW WNW    AVERAGE  5.5 209
2021 04 16 06 26  1.4  0.9 15.4  1.1  4.2  SW   W    AVERAGE  5.7 217
2021 04 16 05 56  1.4  1.0 16.7  0.9  5.3 SSW   W      SWELL  6.7 203
2021 04 16 05 26  1.3  0.9 16.7  0.9  5.0  SW   W      SWELL  6.1 222
2021 04 16 04 56  1.3  0.8 14.3  1.1  4.8  SW   W    AVERAGE  5.4 227
2021 04 16 04 26  1.4  0.8 14.3  1.1  4.5 WSW   W    AVERAGE  5.5 237
2021 04 16 03 26  1.3  0.7 16.7  1.1  4.8 SSW   W    AVERAGE  5.2 207
2021 04 16 02 56  1.3  0.8 14.3  1.1  4.8  SW   W    AVERAGE  5.4 236
2021 04 16 02 26  1.4  0.8 15.4  1.1  4.5  SW   W    AVERAGE  5.7 223
2021 04 16 01 56  1.3  0.8 15.4  1.0  4.8  SW   W    AVERAGE  5.6 229
2021 04 16 01 26  1.2  0.8 16.7  0.9  4.8 SSW   W    AVERAGE  6.0 206
2021 04 16 00 56  1.2  0.8 16.7  0.9  5.0  SW   W    AVERAGE  6.2 215
2021 04 16 00 26  1.1  0.8 15.4  0.8  5.0  SW   W      SWELL  6.3 223
2021 04 15 23 56  1.3  0.9 15.4  0.9  5.0 SSW   W      SWELL  6.5 206
2021 04 15 23 26  1.1  0.8 15.4  0.8  4.8  SW   W      SWELL  6.5 231
